name,number_of_reviews,review_scores_value,cancellation_policy,host_id,host_name,host_for_x_days,host_response_time,host_response_rate,property_type,room_type,accommodates,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights
Private room in Jamaica Plain!,10,8,2,11487565,Josefa,2797,within an hour,100,Apartment,Private room,2,125,200,60,1,1125
"Close to universities, hospitals",10,10,2,49565531,Maria,2127,within a few hours,70,House,Private room,2,84,500,20,3,1125
Diamond House -3- Victorian Jewel,5,10,3,3129367,Louis,3334,within an hour,100,Apartment,Entire home/apt,5,225,500,100,3,365
Beautiful 3 BR with Great Location,57,9,3,4210157,Marian,3222,within an hour,90,House,Entire home/apt,8,275,300,100,3,1125
Rare! Boston house near everything,5,10,3,1414385,Woody And Pauline,3593,within a few hours,100,House,Entire home/apt,8,300,500,175,3,1125
"Fantastic Design, Spacious Boston",7,9,2,1827998,Alexis,3489,within an hour,100,Apartment,Entire home/apt,4,175,100,50,3,7
Studio & Bath On 1st Floor in JP Boston Near Train,61,9,3,20912254,Liz And Dale,2571,within an hour,100,Townhouse,Entire home/apt,2,94,200,20,1,1125
Beautiful 3 bd-2 ba  with parking.,74,9,3,9622924,Emmanuel,2885,within an hour,100,Apartment,Entire home/apt,6,168,350,69,2,250
Cozy JP Studio-Best Location!,152,9,3,965697,Chris & Kristina,3688,within an hour,100,Apartment,Entire home/apt,2,135,250,40,2,1125
Home Away from Home,28,10,1,3381271,Margaret,3309,within a few hours,100,House,Entire home/apt,2,130,300,35,2,1125
"Clean, Comfortable, Convenient and Close to the T",17,10,2,49640474,Nancy,2126,within a few hours,100,Condominium,Private room,1,65,200,15,3,1125
Private Room in convenient location,5,10,2,18589253,Will,2615,within a few hours,100,Apartment,Private room,2,55,200,30,2,1125
Clean apartment in trendy JP Boston,5,9,2,847177,Brendan,3712,within an hour,100,Apartment,Private room,3,72,95,15,1,1125
Beautiful house in Jamaica Plain,3,10,3,9155267,Derek,2908,within a few hours,100,House,Entire home/apt,6,300,500,50,4,15
"Lg. Victorian Home, 7min to T",19,9,1,987917,Helder,3683,within a day,100,House,Entire home/apt,12,480,200,75,1,1125
Unique Find: Private home in City!,49,9,3,2796082,Margaret,3365,within an hour,100,House,Entire home/apt,9,550,300,100,3,21
2 Bdrm Apt w/ tower in JP Victorian,32,10,2,1487352,Matt And Eva,3570,within an hour,100,Apartment,Entire home/apt,4,180,95,80,2,31
Fab House in Hip J.P.,8,10,2,5988470,Nikki,3074,within a day,86,House,Entire home/apt,5,325,300,90,3,1125
Full beautiful house w/ parking & deck!,41,9,2,1693497,Melissa,3514,within an hour,100,House,Entire home/apt,4,159,500,100,2,1125
"Private Floor, Private Bath, City Location",16,10,3,1956464,Maria,3470,a few days or more,0,House,Private room,2,200,100,50,2,120
1 Bedroom Jamaica Plain,9,10,2,23916912,Zach,2495,within a day,100,Apartment,Entire home/apt,3,99,200,35,2,1125
The Roost-Master Suite-The Lion,97,10,2,6391436,Robin And Victoria,3048,within an hour,100,House,Private room,3,93,100,40,3,30
Large Comfortable Home in JP,6,10,2,13271600,Carol,2740,within a day,60,House,Entire home/apt,10,500,200,100,3,1125
Gorgeous 2 bed/1 bth ideal location,8,8,2,7419610,Ariel,2990,within a few hours,100,Apartment,Entire home/apt,4,295,400,50,1,30
Lovely Single Family Colonial Home,28,10,3,4705050,Jared,3168,within a few hours,100,House,Entire home/apt,11,450,500,175,3,1125
Family-friendly townhouse in JP,5,10,3,449295,Dorothy & Seth,3836,within a few hours,100,House,Entire home/apt,4,150,100,75,1,1125
Luxury Apt off Centre St & JP Pond,12,10,3,21644095,David,2552,within an hour,100,Apartment,Entire home/apt,8,399,100,120,2,1125
Lovely 2BR+ 2BA JP Cntr/Superhost,3,9,3,5028116,Jason,3142,within a few hours,100,House,Entire home/apt,6,250,1000,100,1,1125
Cute & Comfy in JP!,4,10,3,19280995,Kaitlin,2604,within a few hours,73,House,Private room,2,56,100,30,1,1125
JP Gem near T 2BR sleeps 6! Spacious and Clean,14,9,3,72882793,Liesl &,1947,within an hour,100,Apartment,Entire home/apt,6,220,250,75,2,1125
Wonderful home Great Neighborhood mins from Boston,1,10,3,11725202,Alicia And Kostas,2789,within an hour,100,House,Entire home/apt,5,180,1500,150,21,84
Quiet 2BD+ w/ parking by Stonybrook,7,10,2,3310704,Kyle & Sefira,3316,within a few hours,100,Apartment,Entire home/apt,3,170,500,60,2,1125
Newly remodeled pet-friendly 2 bed w/ gym by park!,7,10,3,314576,Josh,3935,within an hour,100,House,Entire home/apt,4,115,350,70,1,60
Loft & Bath On Top Floor in JP Boston Near Train,44,10,3,20912254,Liz And Dale,2571,within an hour,100,Townhouse,Private room,2,86,200,20,1,1125
Super Studio-Private and Convenient,230,10,3,965697,Chris & Kristina,3688,within an hour,100,House,Entire home/apt,3,145,250,40,2,1125
Elegant Space in JP!,13,9,3,19280995,Kaitlin,2604,within a few hours,73,House,Private room,2,81,200,75,1,1125
"Bed, Bath & Beyond in Jamaica Plain",94,10,3,14303759,Susan,2712,within a few hours,100,Apartment,Private room,2,60,200,10,1,1125
Treetop Haven-Eclectic Boston Area,7,10,3,36238599,Julie,2282,within a few hours,90,House,Entire home/apt,2,225,4500,125,2,1125
BOSTON ROOM/FREE TRANSIT/BY SUBWAY,2,7,1,41999943,Sara,2220,within an hour,100,Apartment,Private room,2,50,95,30,1,1125
Luxury condo in the heart of JP,2,10,1,11722054,Nina,2789,within a day,75,Condominium,Entire home/apt,3,225,500,75,2,29
The Roost- The Elephant Room,119,10,2,6391436,Robin And Victoria,3048,within an hour,100,House,Private room,2,85,150,30,3,30
